pid,name,description,num_tracks,num_artists,num_albums,num_followers,collaborative,modified_at,popularity_bucket
335839,Summer '14,,50,39,48,1,false,1413504000,niche / personal
851198,Run,,9,5,8,1,false,1498089600,niche / personal
627029,Tejano,,24,9,16,1,false,1476230400,niche / personal
61895,february,,31,12,21,1,false,1454544000,niche / personal
465262,mixtape,,7,7,7,1,false,1482019200,niche / personal
822985,90s,,26,21,23,1,false,1383955200,niche / personal
789379,Hip Hop,,15,11,14,1,false,1437436800,niche / personal
59583,summer 17,,27,23,25,1,false,1509148800,niche / personal
810878,Stuff,,6,6,6,1,false,1405641600,niche / personal
117440,Classics,,104,78,97,1,false,1508112000,niche / personal
127584,super chill,,39,11,16,2,false,1425427200,niche / personal
157989,party,,60,46,51,1,false,1497830400,niche / personal
123736,💥💥💥,,34,28,32,1,false,1508803200,niche / personal
170507,Grouplove,,10,7,9,1,false,1435622400,niche / personal
30046,2016,,217,113,157,2,false,1499385600,niche / personal
523753,sleepin,,26,21,26,1,false,1487635200,niche / personal
52342,Childhood,,188,20,51,1,false,1390694400,niche / personal
96890,Emo af ,,47,10,22,1,false,1493251200,niche / personal
935927,Feel good,,28,25,28,1,false,1486944000,niche / personal
797746,my music,,65,40,46,1,false,1479513600,niche / personal
195356,Mix,,107,54,79,2,false,1508198400,niche / personal
631293,Larry,,237,121,187,3,false,1508284800,niche / personal
494482,Reggae Rock,,48,7,29,1,false,1398729600,niche / personal
646407,Beep boop,,6,5,6,1,false,1430870400,niche / personal
32036,Afternoon Delight,,35,30,33,1,false,1473552000,niche / personal
63033,Classical,,34,21,29,1,false,1490313600,niche / personal
21075,happi,,129,85,109,3,false,1509408000,niche / personal
823128,favorite,,39,26,34,1,false,1488931200,niche / personal
416420,mood,,87,58,66,1,false,1508544000,niche / personal
552208,Rasta,,19,6,7,1,false,1504656000,niche / personal
571292,other,,52,42,47,1,false,1467763200,niche / personal
78963,Dreaming,,230,169,205,2,false,1509408000,niche / personal
728713,Skiing,,127,72,97,1,false,1508889600,niche / personal
510012,Ingles,,51,41,45,1,false,1472169600,niche / personal
316195,Music,,106,70,87,3,false,1486512000,niche / personal
497027,Nicki Minaj,,52,25,37,1,false,1509062400,niche / personal
238195,drive,,43,27,36,1,false,1501804800,niche / personal
614845,CAR,with mom so its not all rap lol,139,102,127,1,false,1509494400,niche / personal
519806,Oldies,,81,44,68,1,false,1480204800,niche / personal
352433,Sum 41,,183,143,172,1,false,1509235200,niche / personal
775393,Emotion :),,26,22,24,1,false,1508025600,niche / personal
898074,Workout,,57,30,41,1,false,1478304000,niche / personal
487435,hella,,110,18,36,1,false,1489276800,niche / personal
610505,me,,14,13,14,1,false,1465776000,niche / personal
323725,Ye,,41,5,16,1,false,1457222400,niche / personal
430144,All Songs,,48,40,44,1,false,1506211200,niche / personal
342065,Wedding,,82,65,79,2,false,1472688000,niche / personal
95886,Others,,90,61,75,1,false,1429833600,niche / personal
675571,chillin,,33,30,32,1,false,1480896000,niche / personal
117131,Meditation,,27,13,22,1,false,1444176000,niche / personal
246733,new worship,,24,19,22,1,false,1454284800,niche / personal
352337,trap queen,,51,18,29,1,false,1498262400,niche / personal
584913,November 2013,,26,26,26,1,false,1387497600,niche / personal
879138,alternative,,79,18,37,3,false,1495670400,niche / personal
584952,Thoughts,,189,8,28,1,false,1490486400,niche / personal
800126,Running,,18,16,18,1,false,1508284800,niche / personal
775031,break up,,16,9,11,1,false,1379203200,niche / personal
161934,Quiet Time,,10,9,10,1,false,1499904000,niche / personal
883895,chILL,,39,25,31,2,false,1422144000,niche / personal
387228,2Pac,,31,5,13,1,false,1492560000,niche / personal
900806,throwbacks,,49,36,44,2,false,1507680000,niche / personal
523661,Dad's Playlist ,,79,63,75,1,false,1508803200,niche / personal
579991,jjjj,,126,58,86,1,false,1501372800,niche / personal
942567,DJ ,,63,53,59,1,false,1441670400,niche / personal
952919,Cleaning music ,,32,28,27,1,false,1418774400,niche / personal
645859,Drive,,44,32,40,1,false,1438819200,niche / personal
774924,Wave,,88,43,59,2,false,1486339200,niche / personal
836563,feels,,42,35,38,1,false,1484956800,niche / personal
515764,dubstep,,111,42,66,1,false,1508889600,niche / personal
565925,my music,,138,80,105,1,false,1499558400,niche / personal
329672,reggae ,,30,3,5,1,false,1436659200,niche / personal
885619,CHILL,,109,89,100,2,false,1509408000,niche / personal
867140,Pop hits,,21,18,20,1,false,1433548800,niche / personal
326947,Workout,,31,18,28,1,false,1470700800,niche / personal
973116,top hits,,30,28,28,1,false,1453766400,niche / personal
715286,feels,,39,34,37,1,false,1507766400,niche / personal
647711,Oldies but Goodies,,196,56,110,1,false,1487721600,niche / personal
198458,Old School,,13,11,13,1,false,1488585600,niche / personal
856194,Christmas 2016,,143,77,91,2,false,1481414400,niche / personal
17632,PREGAME PLAYLIST,,15,11,14,1,false,1509235200,niche / personal
158992,Ay Vamos,,26,12,19,1,false,1430092800,niche / personal
545707,Work Out,,63,31,49,1,false,1488672000,niche / personal
21458,best of the best,,15,9,11,1,false,1508976000,niche / personal
675508,coolio,,78,49,59,1,false,1506384000,niche / personal
202017,4th of July,,54,36,43,2,true,1373155200,niche / personal
550921,eminem,,7,3,4,1,false,1503532800,niche / personal
976161,Favorite Songs of All Time,,23,16,21,2,false,1461801600,niche / personal
557058,Beautiful,,57,21,39,3,false,1470268800,niche / personal
136721,Choreography ,,27,27,27,1,false,1469145600,niche / personal
517616,june,,14,14,14,1,false,1437782400,niche / personal
611523,Hope,,8,5,6,1,false,1504224000,niche / personal
717056,country,,196,75,128,1,false,1506902400,niche / personal
318894,Forever,,51,14,28,1,false,1495152000,niche / personal
786178,country,,29,11,14,1,false,1493683200,niche / personal
307008,roadtrip,,75,62,73,4,false,1500076800,niche / personal
877377,workout,,137,61,92,1,false,1509408000,niche / personal
206029,childhood,,63,30,48,1,false,1505347200,niche / personal
998006,good good,,118,44,68,1,false,1420934400,niche / personal
194801,Oldies but Goodies,,205,102,169,1,false,1507161600,niche / personal
274647,Travel,,13,13,13,1,false,1489968000,niche / personal
223826,chill out,,10,9,10,1,false,1460678400,niche / personal
501542,party,,15,15,15,1,false,1509321600,niche / personal
61241,in the mood ,,244,177,220,27,false,1487548800,niche / personal
578122,moods,songs that make you feel on the happier side of things,36,26,29,2,false,1496448000,niche / personal
563227,Made In America,,91,42,69,1,false,1491436800,niche / personal
477095,BLUE,,21,21,21,1,false,1480896000,niche / personal
868039,Alternatives,,124,68,94,1,false,1508112000,niche / personal
827384,country,,27,17,24,1,false,1469232000,niche / personal
982586,rap songs,,33,20,23,2,false,1508716800,niche / personal
474157,90's.,,39,36,38,1,false,1500076800,niche / personal
343335,Relax,,15,11,15,1,false,1483747200,niche / personal
970769,slow it down,,70,39,52,1,false,1508457600,niche / personal
10335,Bars,,24,10,21,2,false,1499990400,niche / personal
88911,country,,66,38,48,1,false,1508457600,niche / personal
859274,odd,,177,85,138,2,false,1505606400,niche / personal
996483,hehehe,,129,7,14,1,false,1485475200,niche / personal
324597,Ride Out,,23,13,16,1,false,1500076800,niche / personal
571156,hype,,126,86,115,1,false,1503964800,niche / personal
939243,Mix 1,,90,38,43,1,false,1493164800,niche / personal
100187,Guitar,,49,36,42,2,false,1504742400,niche / personal
25324,tbt,,126,29,74,1,false,1481068800,niche / personal
468107,80s,,52,39,47,1,false,1463270400,niche / personal
267982,Sexy Songs,,52,42,48,2,false,1459728000,niche / personal
861045,Too Much,,137,98,118,2,false,1456963200,niche / personal
355422,feelz,,204,145,174,1,false,1508025600,niche / personal
510123,club,,66,41,52,1,false,1472774400,niche / personal
551468,Dope,,62,43,50,2,false,1509321600,niche / personal
564474,indie,,25,13,19,1,false,1500076800,niche / personal
965074,New Country,,39,34,38,1,false,1508630400,niche / personal
522474,Into the Woods,,20,12,2,1,false,1419638400,niche / personal
547115,Jeezy ,,43,13,21,1,false,1491609600,niche / personal
98101,R&R,,224,107,186,9,false,1471305600,niche / personal
348792,WIP,,76,44,53,2,false,1500854400,niche / personal
105766,hurt,for when you&#x27;re feelin generally sad,55,30,44,2,false,1508889600,niche / personal
459525,love,,7,7,7,1,false,1499644800,niche / personal
645501,gym ,,191,67,88,2,false,1495411200,niche / personal
19594,AUGUST,,30,28,29,1,false,1508371200,niche / personal
714036,Rock,,58,38,52,1,false,1495497600,niche / personal
515180,feels,,30,24,29,1,false,1508112000,niche / personal
866891,Study,,103,45,67,1,false,1507766400,niche / personal
697114,classic country,,174,11,47,1,false,1444435200,niche / personal
614444,spirit,,102,39,75,1,false,1430006400,niche / personal
52769,Funky,,10,8,10,1,false,1393545600,niche / personal
36582,feels,,52,27,37,2,false,1509408000,niche / personal
445340,Alternative,,23,19,22,1,false,1457827200,niche / personal
614853,Dance Dance Dance,,20,11,14,1,false,1457308800,niche / personal
743795,sum,,67,54,61,1,false,1475539200,niche / personal
133683,feels ,,51,36,44,2,false,1499212800,niche / personal
497100,Music,,60,35,51,1,false,1492387200,niche / personal
279992,throw backs ,,30,25,28,1,false,1509235200,niche / personal
42903,Country,,87,53,66,2,false,1495843200,niche / personal
270277,OCT 16,,80,68,78,2,false,1493424000,niche / personal
849538,ayeee,,16,14,16,1,false,1501891200,niche / personal
801138,cruise,,39,26,29,2,false,1491609600,niche / personal
703486,hype,,62,32,49,1,false,1509062400,niche / personal
988741,Trappin,,101,46,77,1,false,1506729600,niche / personal
849573,lituation,,121,57,92,3,false,1507507200,niche / personal
348095,Rap,,87,58,76,1,false,1505174400,niche / personal
275243,banduki,,10,4,7,1,false,1472601600,niche / personal
579737,Dunno,,17,17,17,1,false,1493942400,niche / personal
166308,Billboard,,65,53,61,3,false,1501545600,niche / personal
592650,Travel Music,,26,23,25,1,false,1373673600,niche / personal
355072,better days,,102,47,76,1,false,1508284800,niche / personal
472504,Trap,,23,22,22,1,false,1506211200,niche / personal
747846,Rocket League,,120,98,111,1,false,1501804800,niche / personal
610824,Rock this ,,29,15,24,1,false,1505088000,niche / personal
242856,catchy songs,,39,22,27,1,false,1458864000,niche / personal
568221,ye,,75,54,66,1,false,1480723200,niche / personal
838596,feels,,69,46,59,1,false,1464566400,niche / personal
203231,Friends,,16,14,16,1,false,1505174400,niche / personal
822173,jude,,23,23,23,1,false,1506816000,niche / personal
513344,October,,22,22,22,2,false,1509408000,niche / personal
145774,NEW,,17,15,17,1,false,1497312000,niche / personal
57259,🙌🏼,,29,21,26,1,false,1509148800,niche / personal
542441,jams,,51,22,37,2,false,1464739200,niche / personal
795768,GET LIT!,,26,18,21,1,false,1504310400,niche / personal
675887,rn,,30,24,25,1,false,1446854400,niche / personal
789237,80s,,91,59,81,3,false,1368057600,niche / personal
734212,New Chill,,41,36,38,1,false,1508889600,niche / personal
148399,8th grade,,160,105,130,1,false,1463961600,niche / personal
639514,Best,,42,33,38,1,false,1449705600,niche / personal
555085,Partay,,185,117,146,1,false,1509408000,niche / personal
951831,gooey ,,26,22,24,1,true,1436572800,niche / personal
892936,Feel good,,48,44,47,1,false,1476489600,niche / personal
968429,Work,,26,18,25,2,false,1487548800,niche / personal
118493,2014,,231,133,166,7,false,1423008000,niche / personal
340945,Throwback,,53,39,48,2,false,1464912000,niche / personal
541509,GOod Morning,,14,14,14,1,false,1509235200,niche / personal
390751,Paul,,25,15,18,1,false,1509408000,niche / personal
917162,christmas faves,,9,8,8,1,false,1480204800,niche / personal
526154,Isla,,52,34,42,1,false,1382140800,niche / personal
806309,Women,,56,40,47,1,true,1461283200,niche / personal
903386,Rowdy,,16,11,15,1,false,1459641600,niche / personal
513271,Crap,,35,11,19,4,false,1483660800,niche / personal
343180,sex,,23,16,19,1,false,1509321600,niche / personal
779206,Chill AF,,90,64,76,1,false,1506988800,niche / personal
1713,summer 2k17,,168,106,140,1,false,1509408000,niche / personal
543574,BEST,,36,32,33,1,false,1441670400,niche / personal
852150,Dinner Music,,27,20,24,1,false,1412294400,niche / personal
33524,Talent Show,,58,44,53,1,false,1488931200,niche / personal
110445,80's party,,64,45,56,1,false,1501200000,niche / personal
675414,grind,,100,43,70,1,false,1461369600,niche / personal
588159,Mexican,,43,26,42,2,false,1498867200,niche / personal
871279,FIFA,,85,73,84,1,false,1505865600,niche / personal
586097,party,,51,42,47,1,false,1502064000,niche / personal
369510,sasquatch,,65,43,60,2,false,1463184000,niche / personal
156558,Vibes,,20,10,12,1,false,1500854400,niche / personal
74330,cardio,,15,12,12,1,false,1443139200,niche / personal
89850,Cocktail Hour,,64,53,62,2,false,1493942400,niche / personal
65536,4 AM,,10,5,10,1,false,1504224000,niche / personal
878619,jammy,,103,61,91,1,false,1508976000,niche / personal
471680,BOSSA NOVA,,17,5,12,1,false,1499385600,niche / personal
238477,February,,15,15,15,1,false,1391990400,niche / personal
536396,tunes,,74,48,58,1,false,1414540800,niche / personal
1239,lit,,27,11,14,2,false,1482278400,niche / personal
322354,Dunno,,112,84,100,2,false,1507939200,niche / personal
188573,💗💗,,98,34,62,1,false,1505692800,niche / personal
838903,spring,,90,62,75,1,false,1496102400,niche / personal
926860,camp,,108,66,81,2,false,1471132800,niche / personal
566613,Beto,,58,39,46,1,false,1494979200,niche / personal
690887,cinnamon ,,27,20,21,1,false,1461196800,niche / personal
197886,Butter,,66,59,64,1,true,1416441600,niche / personal
119694,Randoms,,45,35,45,3,false,1458345600,niche / personal
460263,Britt,,20,20,20,1,false,1506038400,niche / personal
190096,homework ,,12,8,9,1,false,1426464000,niche / personal
624290,driving,isn&#x27;t gas just transportation sauce?,45,37,42,1,false,1497052800,niche / personal
521822,2013,,104,21,24,1,false,1375574400,niche / personal
686182,lit,,228,145,194,4,false,1498953600,niche / personal
960852,car,,205,102,146,4,false,1508976000,niche / personal
296311,Hip Hop,,202,98,159,1,false,1506038400,niche / personal
883902,Chill out ,,34,20,27,1,false,1372464000,niche / personal
883773,fun!!,,32,15,22,1,false,1397520000,niche / personal
460753,😈🔥,,15,10,13,1,false,1466294400,niche / personal
862464,workout,,31,27,28,2,false,1454284800,niche / personal
140798,run,,40,24,33,1,false,1467763200,niche / personal
691683,It's The Most Wonderful Time of the Year,,206,29,53,1,false,1450483200,niche / personal
22309,Studying,,68,50,60,2,false,1454371200,niche / personal
161718,Summer ,,18,14,17,2,false,1403395200,niche / personal
279304,TBT,,96,64,86,1,false,1508716800,niche / personal
651059,Oldies but Goodies,,194,117,173,2,false,1506384000,niche / personal
137210,Eros Ramazzotti,,181,3,36,2,false,1424304000,niche / personal
738486,Partayy,,57,39,48,1,false,1409875200,niche / personal
588604,Pop Punk,,66,32,48,2,false,1440547200,niche / personal
539874,all time,,7,6,6,1,false,1464739200,niche / personal
917581,plane,,6,5,6,1,false,1479686400,niche / personal
776482,Girls girls girls,,23,8,14,1,false,1489708800,niche / personal
664464,Kickback,,58,22,34,2,false,1443916800,niche / personal
946355,candles,,101,62,85,13,false,1473120000,niche / personal
785545,Soft Music,,95,52,75,1,false,1474156800,niche / personal
38971,Classic Rock,,137,50,103,1,false,1509235200,niche / personal
393099,contemporary,,146,120,139,4,false,1509408000,niche / personal
626806,old skool,,32,17,28,1,false,1452729600,niche / personal
513358,River,,23,10,20,1,false,1465430400,niche / personal
764420,Peace,,180,156,168,3,false,1509408000,niche / personal
69695,Country,,232,56,159,1,false,1504224000,niche / personal
781919,Throwback,,103,68,89,1,false,1499558400,niche / personal
146852,Logic – Everybody,,16,4,4,1,false,1495411200,niche / personal
411290,feelings,,71,56,67,1,false,1509062400,niche / personal
896607,bed,,26,16,17,1,false,1475452800,niche / personal
208820,🔥🔥,,53,28,38,2,false,1455494400,niche / personal
687848,Wedding Party,,93,71,87,1,false,1496620800,niche / personal
26662,Party in the USA,,32,31,32,1,false,1489363200,niche / personal
138825,Downtime,,7,7,7,1,false,1505260800,niche / personal
733721,October Playlist,,26,22,24,1,false,1477008000,niche / personal
801875,-__-,,36,33,35,1,false,1508976000,niche / personal
127007,chill vibes ,,140,103,125,1,false,1509321600,niche / personal
805903,1980s,,166,59,102,3,false,1452902400,niche / personal
351300,juice,,20,12,17,1,false,1500076800,niche / personal
883643,Chill Music,,68,29,56,1,false,1388188800,niche / personal
111897,Classics,,110,80,97,1,false,1499126400,niche / personal
944707,mix it up,,28,19,23,1,false,1505952000,niche / personal
897583,feels,,20,11,11,1,false,1499126400,niche / personal
165488,Summer '15,,26,22,24,1,false,1435104000,niche / personal
551798,Bachata,,19,6,13,2,false,1420848000,niche / personal
504055,spin class,,6,6,6,1,false,1508112000,niche / personal
835046,jam out,,110,72,90,1,false,1509408000,niche / personal
474206,Relaxation,,21,12,16,1,false,1473638400,niche / personal
841351,|||,,36,27,30,1,false,1487894400,niche / personal
350214,10,,8,8,8,1,false,1425168000,niche / personal
976667,hip hop & rap,mostly upbeat party music,39,19,33,2,false,1492387200,niche / personal
323292,fave,,24,13,13,2,false,1470528000,niche / personal
754535,Workout,,43,33,41,2,false,1508457600,niche / personal
247968,al :),it&#x27;ll be okay,76,62,73,1,false,1503964800,niche / personal
354958,dad,,31,12,24,1,false,1485734400,niche / personal
688768,Acoustic ,,15,14,15,1,false,1498003200,niche / personal
773413,Combo,,69,40,61,1,false,1487289600,niche / personal
153592,Italy,,41,15,24,1,false,1441584000,niche / personal
906072,Christmas,,82,47,48,1,false,1481587200,niche / personal
349338,spanish,,25,8,14,1,false,1501459200,niche / personal
216563,like,,15,9,11,1,false,1480636800,niche / personal
463174,March 2017,,12,12,12,1,false,1490054400,niche / personal
556629,Instrumental,,93,45,62,1,false,1503360000,niche / personal
993004,Hallelujah,,18,15,16,1,false,1476144000,niche / personal
759327,Poolside!!!!,,71,35,48,2,false,1489190400,niche / personal
819572,Melo,,18,12,16,1,false,1469059200,niche / personal
550326,Personal Favorites,,150,14,55,1,false,1466035200,niche / personal
598401,Spring 2017,,25,22,24,1,false,1496534400,niche / personal
305014,sad songs :(,,157,82,117,3,false,1506297600,niche / personal
452490,Sad ,,27,23,26,1,false,1508803200,niche / personal
872275,dad,,23,15,19,3,false,1490400000,niche / personal
672699,classics,,12,11,12,1,false,1508371200,niche / personal
343060,ROADTRIP!!,,218,147,188,4,false,1502668800,niche / personal
385401,FOB,,51,35,41,1,false,1400112000,niche / personal
11047,Workout,,51,26,33,1,false,1459728000,niche / personal
172050,gangster,,50,34,43,1,true,1390521600,niche / personal
448436,Banda,,46,17,31,1,false,1477353600,niche / personal
274337,Boat,,16,6,6,1,false,1370217600,niche / personal
470590,country lovin,,74,39,53,1,false,1472947200,niche / personal
423651,19,,62,45,23,1,false,1509062400,niche / personal
818038,may '17,these are all my favorite songs from may 2017,43,29,32,1,false,1495843200,niche / personal
387591,mood,,29,26,29,2,false,1497744000,niche / personal
927484,Running,,22,22,22,1,false,1491177600,niche / personal
578038,party mix,,140,76,113,1,false,1463961600,niche / personal
335676,chillish,,76,51,59,1,false,1484006400,niche / personal
961782,drops,,35,31,35,1,false,1509235200,niche / personal
342389,Fall 2016,,39,38,39,1,false,1479772800,niche / personal
176643,Work Mix,,24,23,24,1,true,1435968000,niche / personal
320284,1738,,203,106,142,8,false,1508976000,niche / personal
710121,Mix Up,,64,34,43,1,true,1470960000,niche / personal
4378,Pizza,,24,21,22,1,false,1408492800,niche / personal
555511,babes,,162,54,72,2,false,1508803200,niche / personal
532614,RENATA,,48,42,46,5,false,1437177600,niche / personal
162166,MHM,,20,17,17,2,false,1462320000,niche / personal
375655,Aux,,42,27,33,2,false,1509235200,niche / personal
631553,Ghetto,,68,43,57,2,false,1508371200,niche / personal
812017,Basketball Playlist,,29,22,27,1,false,1394496000,niche / personal
580399,Romance,,103,48,69,4,false,1461801600,niche / personal
768008,country,,243,63,133,1,false,1505174400,niche / personal
688098,chilllll,,9,8,9,1,false,1456704000,niche / personal
575706,Ball,,11,4,8,1,false,1383955200,niche / personal
843618,country ,,237,67,140,1,false,1507161600,niche / personal
879370,Songs to Learn,,8,8,8,1,false,1475020800,niche / personal
49906,wake up,,17,15,16,1,false,1503878400,niche / personal
394512,2k15,,45,32,35,1,false,1453248000,niche / personal
594325,💀💀💀,,34,17,25,3,false,1508716800,niche / personal
758785,Mellow,,90,59,74,1,false,1506038400,niche / personal
721702,feels,,9,9,9,1,false,1505779200,niche / personal
452614,TURNIP,,77,68,71,1,false,1481760000,niche / personal
55558,17',,76,62,67,1,false,1491091200,niche / personal
2901,plane,,88,47,58,1,false,1479686400,niche / personal
914116,2k17,,14,11,13,1,false,1503014400,niche / personal
737413,Piano Music,,38,4,8,1,false,1398556800,niche / personal
89577,Electronic,,19,8,12,1,false,1420070400,niche / personal
791867,top 10,,5,5,5,1,false,1456876800,niche / personal
773314,Hype,,57,37,49,1,false,1503532800,niche / personal
40732,farsi,,54,18,34,5,false,1499731200,niche / personal
996921,Worship,,91,39,65,1,false,1505952000,niche / personal
842796,**Sasquatch,,33,18,23,1,false,1463011200,niche / personal
568371,Chill Music,,48,35,41,1,false,1499558400,niche / personal
932727,Turn up,,5,5,5,2,false,1500681600,niche / personal
583130,Tomorrow,,18,8,8,1,false,1492905600,niche / personal
12201,sprang break,,155,124,150,2,false,1488499200,niche / personal
688774,idk,,147,117,132,2,false,1509408000,niche / personal
396780,BM,,84,37,44,1,false,1409184000,niche / personal
848759,driving,saved!!,102,73,88,2,false,1489017600,niche / personal
950849,Summer Playlist,,24,17,20,1,false,1503187200,niche / personal
77133,90s,,5,5,5,1,false,1451779200,niche / personal
879002,23,,34,32,33,1,false,1506124800,niche / personal
907794,good vibes,,12,6,10,2,false,1464739200,niche / personal
909848,rap,,20,19,20,1,false,1508716800,niche / personal
491735,Jazz,,11,9,9,1,false,1508976000,niche / personal
762986,Stand up,,177,5,10,1,false,1498003200,niche / personal
670457,24K Magic,,6,4,4,1,false,1479945600,niche / personal
879606,Road Trip,,132,71,97,1,true,1508630400,niche / personal
92290,halloween!!,,26,19,19,1,false,1508803200,niche / personal
557359,jams,,56,28,38,1,false,1507852800,niche / personal
416612,low,,140,54,79,2,false,1508803200,niche / personal
696645,Slow songs ,,141,63,102,13,false,1495152000,niche / personal
650930,Vibin',,61,30,49,1,false,1508716800,niche / personal
374989,DRUNK,,23,19,22,1,false,1473120000,niche / personal
647969,Nostalgia,,75,43,53,1,false,1474675200,niche / personal
518036,ride out,,19,8,8,1,false,1427500800,niche / personal
439470,summer '17,,107,75,93,1,false,1506902400,niche / personal
212243,funky monkey,,92,10,14,1,false,1485216000,niche / personal
790595,may ,,39,31,35,2,false,1496102400,niche / personal
821308,ElectroPop,,93,65,79,2,false,1478390400,niche / personal
692577,Gym,,12,10,11,1,false,1501113600,niche / personal
761077,80s,,222,111,172,2,false,1505174400,niche / personal
619403,Gym Jams,,44,38,40,1,true,1443312000,niche / personal
896302,Sol ,,21,19,21,1,false,1479859200,niche / personal
314985,work,,15,14,15,1,false,1504742400,niche / personal
568552,femme,,31,11,18,1,false,1507680000,niche / personal
357859,My Music,,59,41,50,1,false,1509321600,niche / personal
297064,Oldies But Goodies,,182,81,125,1,false,1508976000,niche / personal
479851,car,,52,44,51,1,false,1508803200,niche / personal
307618,grl pwr,,27,19,26,1,false,1508112000,niche / personal
229254,rap/reggae,,55,27,39,2,false,1508371200,niche / personal
717364,gone,,11,10,11,3,false,1470700800,niche / personal
850161,2015,,36,36,36,1,false,1452211200,niche / personal
478101,Honey,for hopeless romantic you.,61,58,59,1,false,1497484800,niche / personal
819352,july,,41,30,34,1,false,1501545600,niche / personal
272312,Reggeaton,,45,11,27,1,true,1455235200,niche / personal
396189,CD2,,47,16,28,3,false,1508803200,niche / personal
755764,sing along,,34,18,25,2,false,1501632000,niche / personal
633402,SS,,32,18,26,1,false,1463529600,niche / personal
552634,for david,,5,5,5,1,false,1458000000,niche / personal
848307,MAIN,,111,64,86,7,false,1509408000,niche / personal
94361,IDK,,28,24,27,1,false,1506556800,niche / personal
329298,Throwback Thursday,,111,59,88,1,false,1501113600,niche / personal
13176,bumpin,,77,40,54,2,false,1489881600,niche / personal
890556,vibe$,,23,18,22,1,false,1444089600,niche / personal
447933,Bar,,40,26,33,1,false,1466467200,niche / personal
770376,🔥🔥🔥🔥,,127,56,82,1,false,1509062400,niche / personal
210045,summer bops,,42,33,34,2,false,1503446400,niche / personal
126784,Fix,,208,106,151,1,false,1480377600,niche / personal
656757,alexa,,15,14,14,2,false,1441238400,niche / personal
